Project,Lines of Code,Number of Functions,Number of Operators,Cyclomatic Complexity,Halstead Volume,Maintainability Index
algo,5441,339,2774,78,272676.2,10.0
algorithms,24443,1411,10537,631,1718967.49,10.0
audiocraft,25015,1190,13840,394,2197550.66,10.0
awesome-machine-learning,30,0,33,0,1197.84,79.04
awesome-quant,197,5,394,3,13825.33,35.14
babyagi,6153,266,2321,159,395955.18,10.0
bert,5995,187,2852,90,370959.28,10.0
big-list-of-naughty-strings,63,1,17,1,2276.2,63.45
ChatGPT,2988,71,1385,18,148242.45,10.0
chatgpt-retrieval-plugin,9876,183,4157,228,553461.9,10.0
Depix,975,29,413,25,36267.07,10.0
fauxpilot,1135,30,735,21,66745.62,10.0
gpt-pilot,16260,341,6627,315,1064108.68,10.0
grok-1,2296,86,1120,26,114392.86,10.0
hackingtool,2587,89,2222,34,162968.84,10.0
interview_internal_reference,0,0,0,1,0.0,
ItChat,2931,211,1697,71,190740.35,10.0
llama,1179,27,487,14,66939.37,10.0
llama3,1154,38,591,19,62455.4,10.0
loguru,17961,1313,10411,995,1114506.01,10.0
mackup,1967,84,616,19,96087.07,10.0
ML-From-Scratch,6904,391,3906,161,491372.02,10.0
nanoGPT,1220,24,982,7,100043.68,10.0
NLP-progress,480,13,178,13,17951.31,17.06
private-gpt,6405,249,3205,88,375992.82,10.0
proxy_pool,2489,161,1341,62,110909.11,10.0
screenshot-to-code,4517,30,7252,51,459035.21,10.0
shadowsocks,0,0,0,0,0.0,
wtfpython,632,10,222,9,24464.87,11.91
wttr.in,6462,187,3125,158,502464.06,10.0
